exposure_component	exposure_category	chip_type	chip_status	outcome	incidence_rate_100py	ci_95	p_value_rate	pval_interaction
Blood_lipid_points	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.530822191234173	(0.49 - 0.57)	6.91691904177745e-323	0.615224135429373
Blood_lipid_points	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	0.467715410153521	(0.38 - 0.57)	3.45845952088873e-323	0.27702104213191
Blood_lipid_points	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.323741039575417	(0.30 - 0.34)	1.13635098543487e-322	0.27702104213191
Blood_lipid_points	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.189310415834743	(0.11 - 0.31)	1.97626258336499e-323	0.27702104213191
Blood_lipid_points	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.187600973926142	(0.16 - 0.21)	6.91691904177745e-323	0.27702104213191
Blood_lipid_points	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.880453774759539	(0.69 - 1.11)	1.97626258336499e-323	0.27702104213191
Blood_lipid_points	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.513418305971588	(0.47 - 0.56)	6.91691904177745e-323	0.27702104213191
Blood_lipid_points	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.419448687765016	(0.31 - 0.55)	2.47032822920623e-323	0.969698190999015
Blood_lipid_points	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.330087174793405	(0.31 - 0.35)	1.13635098543487e-322	0.969698190999015
Blood_lipid_points	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.18049925303835	(0.08 - 0.36)	1.48219693752374e-323	0.969698190999015
Blood_lipid_points	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.1879705178467	(0.16 - 0.21)	7.4109846876187e-323	0.969698190999015
Blood_lipid_points	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.708140339709763	(0.48 - 1.01)	1.48219693752374e-323	0.969698190999015
Blood_lipid_points	High	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.531789950227017	(0.49 - 0.58)	6.91691904177745e-323	0.969698190999015
Blood_lipid_points	Low	TET2	Carrier	Coronary_Artery_Disease_Death	0.256614619882738	(0.13 - 0.46)	1.48219693752374e-323	0.382680059662468
Blood_lipid_points	Low	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.334522895629786	(0.31 - 0.36)	1.18575755001899e-322	0.382680059662468
Blood_lipid_points	Intermediate	TET2	Carrier	Coronary_Artery_Disease_Death	0.137446005912447	(0.02 - 0.50)	9.88131291682493e-324	0.382680059662468
Blood_lipid_points	Intermediate	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.188294266143384	(0.16 - 0.21)	7.4109846876187e-323	0.382680059662468
Blood_lipid_points	High	TET2	Carrier	Coronary_Artery_Disease_Death	0.739187091693876	(0.38 - 1.29)	9.88131291682493e-324	0.382680059662468
Blood_lipid_points	High	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.53549596612608	(0.49 - 0.58)	6.91691904177745e-323	0.382680059662468
Blood_lipid_points	Low	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.553828153659716	(0.42 - 0.72)	1.97626258336499e-323	0.365247756288966
Blood_lipid_points	Low	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.32629080328323	(0.31 - 0.35)	1.13635098543487e-322	0.365247756288966
Blood_lipid_points	Intermediate	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.216155209796315	(0.09 - 0.43)	1.48219693752374e-323	0.365247756288966
Blood_lipid_points	Intermediate	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.186849205828856	(0.16 - 0.21)	7.4109846876187e-323	0.365247756288966
Blood_lipid_points	High	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	1.03986466679461	(0.75 - 1.41)	1.48219693752374e-323	0.365247756288966
Blood_lipid_points	High	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.521096656803374	(0.48 - 0.56)	6.91691904177745e-323	0.365247756288966
HbA1c_score	Low	ASXL1	Carrier	Coronary_Artery_Disease_Death	3.52150250612075	(1.69 - 6.48)	4.94065645841247e-324	0.114970267219744
HbA1c_score	Low	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	1.36642523320432	(1.24 - 1.50)	3.95252516672997e-323	0.114970267219744
HbA1c_score	Intermediate	ASXL1	Carrier	Coronary_Artery_Disease_Death	1.75478384533804	(0.84 - 3.23)	4.94065645841247e-324	0.114970267219744
HbA1c_score	Intermediate	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.518942874977381	(0.47 - 0.57)	5.92878775009496e-323	0.114970267219744
HbA1c_score	High	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.410014556050331	(0.20 - 0.73)	9.88131291682493e-324	0.114970267219744
HbA1c_score	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.236835423001568	(0.22 - 0.25)	1.38338380835549e-322	0.114970267219744
HbA1c_score	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	1.8185061661764	(1.34 - 2.42)	9.88131291682493e-324	0.886028543591052
HbA1c_score	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	1.34876610406943	(1.22 - 1.48)	3.45845952088873e-323	0.886028543591052
HbA1c_score	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.783282851645609	(0.57 - 1.05)	1.48219693752374e-323	0.886028543591052
HbA1c_score	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.507493049470783	(0.46 - 0.56)	5.43472210425371e-323	0.886028543591052
HbA1c_score	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.32877593799355	(0.27 - 0.40)	3.45845952088873e-323	0.886028543591052
HbA1c_score	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.231575493976965	(0.22 - 0.25)	1.33397724377137e-322	0.886028543591052
HbA1c_score	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	1.5833527650591	(0.98 - 2.42)	9.88131291682493e-324	0.800108691157085
HbA1c_score	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	1.37632088148903	(1.25 - 1.51)	3.95252516672997e-323	0.800108691157085
HbA1c_score	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.814277481204193	(0.53 - 1.19)	1.48219693752374e-323	0.800108691157085
HbA1c_score	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.51556144174733	(0.46 - 0.57)	5.43472210425371e-323	0.800108691157085
HbA1c_score	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.263666841709873	(0.19 - 0.35)	2.47032822920623e-323	0.800108691157085
HbA1c_score	High	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.236873230941044	(0.22 - 0.25)	1.38338380835549e-322	0.800108691157085
HbA1c_score	Low	TET2	Carrier	Coronary_Artery_Disease_Death	1.7361163797018	(0.79 - 3.30)	4.94065645841247e-324	0.322241838050826
HbA1c_score	Low	TET2	Non-carrier	Coronary_Artery_Disease_Death	1.37894381925079	(1.26 - 1.51)	3.95252516672997e-323	0.322241838050826
HbA1c_score	Intermediate	TET2	Carrier	Coronary_Artery_Disease_Death	0.376260575086475	(0.10 - 0.96)	4.94065645841247e-324	0.322241838050826
HbA1c_score	Intermediate	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.530711388903009	(0.48 - 0.59)	5.92878775009496e-323	0.322241838050826
HbA1c_score	High	TET2	Carrier	Coronary_Artery_Disease_Death	0.207482730668417	(0.11 - 0.36)	1.48219693752374e-323	0.322241838050826
HbA1c_score	High	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.238224427058849	(0.22 - 0.25)	1.38338380835549e-322	0.322241838050826
HbA1c_score	Low	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	2.09504807627714	(1.39 - 3.03)	9.88131291682493e-324	0.749009344148666
HbA1c_score	Low	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	1.35538020493522	(1.23 - 1.49)	3.95252516672997e-323	0.749009344148666
HbA1c_score	Intermediate	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.808316722817066	(0.50 - 1.24)	9.88131291682493e-324	0.749009344148666
HbA1c_score	Intermediate	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.518275420853341	(0.47 - 0.57)	5.43472210425371e-323	0.749009344148666
HbA1c_score	High	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.407102443002929	(0.31 - 0.53)	2.47032822920623e-323	0.749009344148666
HbA1c_score	High	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.232555850260621	(0.22 - 0.25)	1.38338380835549e-322	0.749009344148666
PA_score	Low	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.902063220641488	(0.58 - 1.33)	9.88131291682493e-324	0.564144357059032
PA_score	Low	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.348520267345851	(0.33 - 0.37)	1.38338380835549e-322	0.564144357059032
